Age	Sex	JO	MOR	SP	Total	muerteJO	muerteMOR	muerteSP	muerteTotal
67.5	Males	253427	299603	18752	571782	6491	9284	671	16446
72.5	Males	231346	253361	27166	511873	8497	11273	1374	21144
77.5	Males	202160	124166	30927	357253	11652	8467	2180	22299
82.5	Males	150715	49293	30399	230407	13918	5074	3044	22036
87.5	Males	77584	18120	22835	118539	10987	2667	3567	17221
92.5	Males	24308	4367	10254	38929	5086	894	2192	8172
97.5	Males	3864	790	1963	6617	1057	192	570	1819
67.5	Females	154509	490837	152620	797966	1842	7151	2537	11530
72.5	Females	133158	342887	192881	668926	2388	7949	4573	14910
77.5	Females	106769	206948	214947	528664	3390	7876	8234	19500
82.5	Females	86753	108016	213121	407890	5115	7189	14245	26549
87.5	Females	52242	49036	163401	264679	5327	5492	18338	29157
92.5	Females	20283	15731	76255	112269	3459	2727	13654	19840
97.5	Females	4714	3381	17380	25475	1145	778	4484	6407
67.5	Total	407936	790440	171372	1369748	8333	16435	3208	27976
72.5	Total	364504	596248	220047	1180799	10885	19222	5947	36054
77.5	Total	308929	331114	245874	885917	15042	16343	10414	41799
82.5	Total	237468	157309	243520	638297	19033	12263	17289	48585
87.5	Total	129826	67156	186236	383218	16314	8159	21905	46378
92.5	Total	44591	20098	86509	151198	8545	3621	15846	28012
97.5	Total	8578	4171	19343	32092	2202	970	5054	8226
